Flight_Name  ,Departure_Time  ,Arrival_Time  ,Duration  ,Fare
Go Air,23:30,02:15, 2hr 45min     non-stop  ,3360
Jet Airways,06:30,09:25, 2hr 55min     non-stop  ,4203
SpiceJet,07:55,10:40, 2hr 45min     non-stop  ,4155
SpiceJet,20:45,23:40, 2hr 55min     non-stop  ,4155
SpiceJet,17:45,22:25, 4hr 40min      1 stop  ,4155
SpiceJet,17:45,22:25, 4hr 40min     non-stop  ,4155
IndiGo,05:55,08:40, 2hr 45min     non-stop  ,4174
IndiGo,07:05,09:55, 2hr 50min     non-stop  ,4174
IndiGo,21:30,00:20, 2hr 50min     non-stop  ,4174
IndiGo,14:45,17:40, 2hr 55min     non-stop  ,4174
IndiGo,10:55,13:55, 3hr      non-stop  ,4174
Jet Airways,14:05,16:55, 2hr 50min     non-stop  ,4203
Jet Airways,08:25,11:20, 2hr 55min     non-stop  ,4203
Jet Airways,20:00,22:55, 2hr 55min     non-stop  ,4203
Jet Airways,18:55,22:00, 3hr 5min     non-stop  ,4203
