Bus_Name,Service_Name,Departure_Time,Arrival_Time,Duration,Fare
Evacay bus ,Volvo A/c B11R Multi Axle Semi Sleeper (2+2),08:00,11:30,03h 30m,630,
Parveen  Travels  ,Volvo Multi Axle SemiSleeper I-Shift B11R (2+2),05:25,07:50,02h 25m,750,
Evacay bus ,Volvo A/c B11R Multi Axle Semi Sleeper (2+2),16:30,20:00,03h 30m,650,
RKK Travels ,Volvo A/C Multi-Axle Semisleeper (2+2),04:15,06:55,02h 40m,695,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),11:30,15:15,03h 45m,476,
GreenLine Travels And  Holidays ,Scania AC Multi Axle Semi Sleeper(2+2),17:45,21:45,04h 00m,550,
Asian Xpress ,Volvo B9R Multi Axle Semi Sleeper (2+2),05:05,07:45,02h 40m,680,
Parveen  Travels  ,Volvo Multi Axle SemiSleeper I-Shift B11R (2+2),16:45,19:50,03h 05m,575,
Jabbar  Travels ,Volvo A/C Multi Axle SemiSleeper (2+2),21:45,02:30,04h 45m,665,
RKK Travels ,Volvo A/C Multi-Axle Semisleeper (2+2),17:15,20:30,03h 15m,445,
Asian Xpress ,A/c Sleeper (2+1),16:00,20:00,04h 00m,600,
Dreamliner Travels ,A/C Sleeper (2+1),06:30,11:30,05h 00m,649,
Asian Xpress ,Volvo B9R Multi Axle Semi Sleeper (2+2),13:00,17:15,04h 15m,470,
Asian Xpress ,Volvo A/C Multi-Axle Semisleeper (2+2),22:00,01:15,03h 15m,520,
Mettur  super services ,Bharat Benz A/C Sleeper (2+1),14:00,18:00,04h 00m,500,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),18:45,23:15,04h 30m,500,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),13:15,19:15,06h 00m,530,
Tranz king travels ,A/C Sleeper (2+1),15:00,18:30,03h 30m,750,
Thirumal Alaghu  Travels ,volvo multi axle sleeper a/c (2+1),16:15,20:15,04h 00m,550,
Asian Xpress ,Scania AC Multi Axle Semi Sleeper(2+2),14:00,18:15,04h 15m,550,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),06:45,10:05,03h 20m,500,
Bharathi  Travels   ,A/C Sleeper (2+1),05:30,10:30,05h 00m,800,
Hebron transports ,Scania AC Multi Axle Semi Sleeper(2+2),14:00,17:30,03h 30m,550,
Bharathi  Travels   ,Scania AC Multi Axle Semi Sleeper(2+2),19:00,22:30,03h 30m,899,
Hebron transports ,Scania AC Multi Axle Semi Sleeper(2+2),22:00,01:20,03h 20m,550,
JTS Tours and Travels ,Non A/C Sleeper  (2+1),23:50,03:30,03h 40m,370,
Asian Xpress ,Volvo A/C Multi-Axle Semisleeper (2+2),18:00,21:25,03h 25m,580,
Evacay bus ,Volvo A/c B11R Multi Axle Semi Sleeper (2+2),23:30,02:30,03h 00m,680,
Bharathi  Travels   ,A/C Sleeper (2+1),23:30,03:00,03h 30m,590,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),23:15,03:30,04h 15m,530,
Asian Xpress ,Scania AC Multi Axle Semi Sleeper(2+2),06:00,10:45,04h 45m,600,
Asian Xpress ,A/c Sleeper (2+1),06:30,10:45,04h 15m,650,
Asian Xpress ,Volvo A/C Multi-Axle Semisleeper (2+2),10:30,14:00,03h 30m,550,
Asian Xpress ,A/c Sleeper (2+1),12:30,16:00,03h 30m,600,
Asian Xpress ,Volvo A/C Multi-Axle Semisleeper (2+2),04:00,07:00,03h 00m,750,
Parveen  Travels  ,Scania AC Multi Axle Semi Sleeper(2+2),07:00,10:00,03h 00m,750,
Jabbar  Travels ,Volvo A/C Multi Axle SemiSleeper (2+2),11:45,16:30,04h 45m,430,
Jabbar  Travels ,A/C Sleeper (2+1),23:45,04:30,04h 45m,600,
RV Transport ,A/C Sleeper (2+1),07:35,11:45,04h 10m,645,
Lakshmi Travels ,A/C Sleeper (2+1),20:00,01:30,05h 30m,540,
Ishaa tours and travels  ,A/c Sleeper (2+1),23:25,03:15,03h 50m,650,
